Engine RPM(rpm),Intake Air Temperature(°C),Engine Load(%),Throttle Position(Manifold)(%),,,,,,,,
1278.75,31,26.27450943,15.68627453,,,,,,,,
1610,31,21.17647171,15.68627453,,,,,,,,
1541.25,31,21.56862831,15.68627453,,,,,,,,
1517,31,21.96078491,15.68627453,,,,,,,,
2024,31,81.5686264,27.45098114,,,,,,,,
1725,31,28.23529434,16.47058868,,,,,,,,
1850,31,70.58823395,25.09803963,,,,,,,,
1743.75,31,25.88235283,21.96078491,,,,,,,,
2100.75,31,91.76470947,29.41176605,,,,,,,,
2494.5,31,95.29412079,38.4313736,,,,,,,,
1746.75,31,27.05882454,15.68627453,,,,,,,,
1353.75,31,23.13725471,15.29411793,,,,,,,,
1246,31,23.52941132,15.29411793,,,,,,,,
2007.75,31,77.64705658,25.49019623,,,,,,,,
1232.75,31,29.41176605,17.64705849,,,,,,,,
1526.5,31,30.19607925,16.47058868,,,,,,,,
1570.25,31,35.29411697,16.47058868,,,,,,,,
1227.25,31,34.50980377,32.15686417,,,,,,,,
2297.5,31,91.76470947,30.19607925,,,,,,,,
2403,31,94.50980377,36.86274719,,,,,,,,
2444.5,31,96.47058868,41.17647171,,,,,,,,
1749,31,25.09803963,15.68627453,,,,,,,,
2467.75,31,92.15686798,36.07843018,,,,,,,,
2239.75,31,46.27450943,32.94117737,,,,,,,,
2042.75,31,86.27451324,39.2156868,,,,,,,,
2506.25,31,66.27451324,15.68627453,,,,,,,,
2587.5,31,96.47058868,40.7843132,,,,,,,,
2627.25,31,97.64706421,41.5686264,,,,,,,,
2664.75,31,98.4313736,45.88235474,,,,,,,,
2693.75,31,98.8235321,46.27450943,,,,,,,,
2730.25,31,98.8235321,46.66666794,,,,,,,,
2514.75,31,97.64706421,27.45098114,,,,,,,,
2290.5,31,40.39215851,28.23529434,,,,,,,,
2612.5,31,87.45098114,30.19607925,,,,,,,,
2328.75,31,94.11764526,34.90196228,,,,,,,,
2374,31,94.11764526,35.29411697,,,,,,,,
2420.25,31,87.45098114,17.25490189,,,,,,,,
2432.75,31,90.58823395,18.4313736,,,,,,,,
2594.5,31,94.11764526,34.50980377,,,,,,,,
2682,31,38.4313736,30.98039246,,,,,,,,
2460,31,77.2549057,30.98039246,,,,,,,,
2623.25,31,91.37255096,20.3921566,,,,,,,,
2699,31,59.60784531,17.64705849,,,,,,,,
2567.75,31,81.5686264,18.8235302,,,,,,,,
2489.75,31,61.56863022,16.47058868,,,,,,,,
2218.75,31,25.49019623,15.68627453,,,,,,,,
2292.75,31,17.64705849,15.68627453,,,,,,,,
2320.25,31,60.7843132,30.58823586,,,,,,,,
2125.75,31,19.6078434,15.68627453,,,,,,,,
2359.25,31,32.94117737,16.47058868,,,,,,,,
2193.75,31,53.72549057,15.68627453,,,,,,,,
2380.25,31,39.60784531,15.68627453,,,,,,,,
1973.25,31,18.8235302,15.68627453,,,,,,,,
1926.5,31,18.4313736,15.29411793,,,,,,,,
